#node;bacteria;kingdom;phylum;class;genus;species;bacgroup;sequencing_status;taxid;habitat
2000;Arthrobacter_arilaitensis_Re117_uid53509;Bacteria;Actinobacteria;Actinobacteria;Arthrobacter;Arthrobacter_arilaitensis;Actinobacteria;1;861360;Animal
2004;Arthrobacter_nitroguajacolicus_Rue61a_uid174511;Bacteria;Actinobacteria;Actinobacteria;Arthrobacter;Arthrobacter_nitroguajacolicus;Actinobacteria;1;1118963;Plant
2369;Clavibacter_michiganensis_sepedonicus_uid61577;Bacteria;Actinobacteria;Actinobacteria;Clavibacter;Clavibacter_michiganensis;Actinobacteria;1;31964;Plant
2444;Corynebacterium_pseudotuberculosis_1002_uid159677;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_pseudotuberculosis;Actinobacteria;1;679896;Animal
2446;Corynebacterium_pseudotuberculosis_258_uid167260;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_pseudotuberculosis;Actinobacteria;1;1168865;Animal
2448;Corynebacterium_pseudotuberculosis_316_uid89381;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_pseudotuberculosis;Actinobacteria;1;1074485;Animal
2452;Corynebacterium_pseudotuberculosis_C231_uid159675;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_pseudotuberculosis;Actinobacteria;1;681645;Animal
2453;Corynebacterium_pseudotuberculosis_CIP_52_97_uid159667;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_pseudotuberculosis;Actinobacteria;1;935697;Animal
2458;Corynebacterium_pseudotuberculosis_PAT10_uid159671;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_pseudotuberculosis;Actinobacteria;1;935298;Animal
2464;Corynebacterium_variabile_DSM_44702_uid62003;Bacteria;Actinobacteria;Actinobacteria;Corynebacterium;Corynebacterium_variabile;Actinobacteria;1;858619;Animal
2690;Frankia_CcI3_uid58397;Bacteria;Actinobacteria;Actinobacteria;Frankia;Frankia_CcI3;Actinobacteria;1;106370;Plant
2691;Frankia_EAN1pec_uid58367;Bacteria;Actinobacteria;Actinobacteria;Frankia;Frankia_EAN1pec;Actinobacteria;1;298653;Animal
2693;Frankia_symbiont_of_Datisca_glomerata_uid46257;Bacteria;Actinobacteria;Actinobacteria;Frankia;Frankia_symbiont;Actinobacteria;1;656024;Animal
2731;Gordonia_polyisoprenivorans_VH2_uid86651;Bacteria;Actinobacteria;Actinobacteria;Gordonia;Gordonia_polyisoprenivorans;Actinobacteria;1;1112204;Plant
3081;Mycobacterium_avium_paratuberculosis_K_10_uid57699;Bacteria;Actinobacteria;Actinobacteria;Mycobacterium;Mycobacterium_avium;Actinobacteria;1;262316;Animal
3082;Mycobacterium_bovis_AF2122_97_uid57695;Bacteria;Actinobacteria;Actinobacteria;Mycobacterium;Mycobacterium_bovis;Actinobacteria;1;233413;Animal
3120;Mycobacterium_vanbaalenii_PYR_1_uid58463;Bacteria;Actinobacteria;Actinobacteria;Mycobacterium;Mycobacterium_vanbaalenii;Actinobacteria;1;350058;Animal
3402;Renibacterium_salmoninarum_ATCC_33209_uid58899;Bacteria;Actinobacteria;Actinobacteria;Renibacterium;Renibacterium_salmoninarum;Actinobacteria;1;288705;Animal
3524;Sanguibacter_keddieii_DSM_10542_uid40845;Bacteria;Actinobacteria;Actinobacteria;Sanguibacter;Sanguibacter_keddieii;Actinobacteria;1;446469;Animal
3578;Slackia_heliotrinireducens_DSM_20476_uid59051;Bacteria;Actinobacteria;Actinobacteria;Slackia;Slackia_heliotrinireducens;Actinobacteria;1;471855;Animal
2073;Bacteroides_helcogenes_P_36_108_uid62135;Bacteria;Bacteroidetes;Bacteroidia;Bacteroides;Bacteroides_helcogenes;Bacteroidetes;1;693979;Animal
2553;Dyadobacter_fermentans_DSM_18053_uid59049;Bacteria;Bacteroidetes;Cytophagia;Dyadobacter;Dyadobacter_fermentans;Bacteroidetes;1;471854;Plant
3598;Spirosoma_linguale_DSM_74_uid43413;Bacteria;Bacteroidetes;Cytophagia;Spirosoma;Spirosoma_linguale;Bacteroidetes;1;504472;Animal
2289;Candidatus_Sulcia_muelleri_SMDSEM_uid59393;Bacteria;Bacteroidetes;Flavobacteriia;Candidatus;Candidatus_Sulcia;Bacteroidetes;1;595499;Plant
2665;Flavobacterium_branchiophilum_FL_15_uid73421;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacterium;Flavobacterium_branchiophilum;Bacteroidetes;1;1034807;Animal
2666;Flavobacterium_columnare_ATCC_49512_uid80731;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacterium;Flavobacterium_columnare;Bacteroidetes;1;1041826;Animal
2669;Flavobacterium_psychrophilum_JIP02_86_uid61627;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacterium;Flavobacterium_psychrophilum;Bacteroidetes;1;402612;Animal
3473;Riemerella_anatipestifer_ATCC_11845___DSM_15868_uid159857;Bacteria;Bacteroidetes;Flavobacteriia;Riemerella;Riemerella_anatipestifer;Bacteroidetes;1;693978;Animal
3474;Riemerella_anatipestifer_ATCC_11845___DSM_15868_uid60727;Bacteria;Bacteroidetes;Flavobacteriia;Riemerella;Riemerella_anatipestifer;Bacteroidetes;1;693978;Animal
3475;Riemerella_anatipestifer_RA_GD_uid162013;Bacteria;Bacteroidetes;Flavobacteriia;Riemerella;Riemerella_anatipestifer;Bacteroidetes;1;992406;Animal
2312;Chlamydia_muridarum_Nigg_uid57785;Bacteria;Chlamydiae;Chlamydiia;Chlamydia;Chlamydia_muridarum;Chlamydiae;1;243161;Animal
2334;Chlamydophila_abortus_S26_3_uid57963;Bacteria;Chlamydiae;Chlamydiia;Chlamydophila;Chlamydophila_abortus;Chlamydiae;1;218497;Animal
2335;Chlamydophila_caviae_GPIC_uid57783;Bacteria;Chlamydiae;Chlamydiia;Chlamydophila;Chlamydophila_caviae;Chlamydiae;1;227941;Animal
2336;Chlamydophila_felis_Fe_C_56_uid57971;Bacteria;Chlamydiae;Chlamydiia;Chlamydophila;Chlamydophila_felis;Chlamydiae;1;264202;Animal
2343;Chlamydophila_psittaci_01DC11_uid159527;Bacteria;Chlamydiae;Chlamydiia;Chlamydophila;Chlamydophila_psittaci;Chlamydiae;1;1027846;Animal
2348;Chlamydophila_psittaci_C19_98_uid159523;Bacteria;Chlamydiae;Chlamydiia;Chlamydophila;Chlamydophila_psittaci;Chlamydiae;1;1027844;Animal
3925;Waddlia_chondrophila_WSU_86_1044_uid49531;Bacteria;Chlamydiae;Chlamydiia;Waddlia;Waddlia_chondrophila;Chlamydiae;1;716544;Animal
3782;Synechococcus_PCC_7002_uid59137;Bacteria;Cyanobacteria;-;Synechococcus;Synechococcus_PCC;Cyanobacteria;1;32049;Animal
2502;Deinococcus_radiodurans_R1_uid57665;Bacteria;-;Deinococci;Deinococcus;Deinococcus_radiodurans;Deinococci;1;243230;Animal
3863;Thermus_thermophilus_JL_18_uid162129;Bacteria;-;Deinococci;Thermus;Thermus_thermophilus;Deinococci;1;798128;Animal
3894;uncultured_Termite_group_1_bacterium_phylotype_Rs_D17_uid59059;Bacteria;Elusimicrobia;-;uncultured;uncultured_Termite;Elusimicrobia;1;471821;Animal
2659;Fibrobacter_succinogenes_S85_uid161919;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacter;Fibrobacter_succinogenes;Fibrobacteres;1;59374;Animal
2660;Fibrobacter_succinogenes_S85_uid41169;Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacter;Fibrobacter_succinogenes;Fibrobacteres;1;59374;Animal
2032;Bacillus_cereus_AH187_uid58753;Bacteria;Firmicutes;Bacilli;Bacillus;Bacillus_cereus;Bacilli;1;405534;Plant
2034;Bacillus_cereus_ATCC_10987_uid57673;Bacteria;Firmicutes;Bacilli;Bacillus;Bacillus_cereus;Bacilli;1;222523;Animal
2055;Bacillus_pumilus_SAFR_032_uid59017;Bacteria;Firmicutes;Bacilli;Bacillus;Bacillus_pumilus;Bacilli;1;315750;Animal
2058;Bacillus_subtilis_BSn5_uid62463;Bacteria;Firmicutes;Bacilli;Bacillus;Bacillus_subtilis;Bacilli;1;936156;Plant
2066;Bacillus_thuringiensis_serovar_finitimus_YBT_020_uid158875;Bacteria;Firmicutes;Bacilli;Bacillus;Bacillus_thuringiensis;Bacilli;1;930170;Plant
2866;Lactobacillus_acidophilus_30SC_uid63605;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_acidophilus;Bacilli;1;891391;Animal
2869;Lactobacillus_amylovorus_GRL1118_uid160233;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_amylovorus;Bacilli;1;695562;Animal
2873;Lactobacillus_casei_ATCC_334_uid57985;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_casei;Bacilli;1;321967;Animal
2877;Lactobacillus_casei_Zhang_uid50673;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_casei;Bacilli;1;498216;Animal
2882;Lactobacillus_delbrueckii_bulgaricus_ND02_uid60621;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_delbrueckii;Bacilli;1;767455;Animal
2884;Lactobacillus_fermentum_IFO_3956_uid58865;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_fermentum;Bacilli;1;334390;Plant
2898;Lactobacillus_reuteri_SD2112_uid55357;Bacteria;Firmicutes;Bacilli;Lactobacillus;Lactobacillus_reuteri;Bacilli;1;491077;Animal
2910;Lactococcus_lactis_cremoris_A76_uid160937;Bacteria;Firmicutes;Bacilli;Lactococcus;Lactococcus_lactis;Bacilli;1;1104322;Animal
2915;Lactococcus_lactis_Il1403_uid57671;Bacteria;Firmicutes;Bacilli;Lactococcus;Lactococcus_lactis;Bacilli;1;272623;Animal
2943;Leuconostoc_kimchii_IMSNU_11154_uid48589;Bacteria;Firmicutes;Bacilli;Leuconostoc;Leuconostoc_kimchii;Bacilli;1;762051;Plant
2946;Listeria_innocua_Clip11262_uid61567;Bacteria;Firmicutes;Bacilli;Listeria;Listeria_innocua;Bacilli;1;272626;Animal
2947;Listeria_ivanovii_PAM_55_uid73473;Bacteria;Firmicutes;Bacilli;Listeria;Listeria_ivanovii;Bacilli;1;881621;Animal
2956;Listeria_monocytogenes_HCC23_uid59203;Bacteria;Firmicutes;Bacilli;Listeria;Listeria_monocytogenes;Bacilli;1;552536;Animal
2959;Listeria_monocytogenes_M7_uid162131;Bacteria;Firmicutes;Bacilli;Listeria;Listeria_monocytogenes;Bacilli;1;1030009;Animal
2971;Listeria_welshimeri_serovar_6b_SLCC5334_uid61605;Bacteria;Firmicutes;Bacilli;Listeria;Listeria_welshimeri;Bacilli;1;386043;Plant
2972;Lysinibacillus_sphaericus_C3_41_uid58945;Bacteria;Firmicutes;Bacilli;Lysinibacillus;Lysinibacillus_sphaericus;Bacilli;1;444177;Animal
2973;Macrococcus_caseolyticus_JCSC5402_uid59003;Bacteria;Firmicutes;Bacilli;Macrococcus;Macrococcus_caseolyticus;Bacilli;1;458233;Animal
3230;Oenococcus_oeni_PSU_1_uid59417;Bacteria;Firmicutes;Bacilli;Oenococcus;Oenococcus_oeni;Bacilli;1;203123;Plant
3246;Paenibacillus_polymyxa_E681_uid53477;Bacteria;Firmicutes;Bacilli;Paenibacillus;Paenibacillus_polymyxa;Bacilli;1;349520;Plant
3271;Pediococcus_pentosaceus_ATCC_25745_uid57981;Bacteria;Firmicutes;Bacilli;Pediococcus;Pediococcus_pentosaceus;Bacilli;1;278197;Plant
3603;Staphylococcus_aureus_COL_uid57797;Bacteria;Firmicutes;Bacilli;Staphylococcus;Staphylococcus_aureus;Bacilli;1;93062;Animal
3638;Staphylococcus_pseudintermedius_HKU10_03_uid62125;Bacteria;Firmicutes;Bacilli;Staphylococcus;Staphylococcus_pseudintermedius;Bacilli;1;937773;Animal
3653;Streptococcus_dysgalactiae_equisimilis_ATCC_12394_uid161979;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_dysgalactiae;Bacilli;1;663954;Animal
3656;Streptococcus_equi_4047_uid59259;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_equi;Bacilli;1;553482;Animal
3657;Streptococcus_equi_zooepidemicus_ATCC_35246_uid162155;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_equi;Bacilli;1;1051072;Animal
3659;Streptococcus_equi_zooepidemicus_uid59261;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_equi;Bacilli;1;40041;Animal
3710;Streptococcus_pyogenes_MGAS9429_uid58569;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_pyogenes;Bacilli;1;370551;Animal
3725;Streptococcus_suis_P1_7_uid32235;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_suis;Bacilli;1;218494;Animal
3726;Streptococcus_suis_S735_uid174333;Bacteria;Firmicutes;Bacilli;Streptococcus;Streptococcus_suis;Bacilli;1;1184252;Animal
3927;Weissella_koreensis_KACC_15510_uid68837;Bacteria;Firmicutes;Bacilli;Weissella;Weissella_koreensis;Bacilli;1;1045854;Plant
2217;Butyrivibrio_proteoclasticus_B316_uid51489;Bacteria;Firmicutes;Clostridia;Butyrivibrio;Butyrivibrio_proteoclasticus;Clostridia;1;515622;Animal
2247;Candidatus_Arthromitus_SFB_mouse_Japan_uid71379;Bacteria;Firmicutes;Clostridia;Candidatus;Candidatus_Arthromitus;Clostridia;1;1029718;Animal
2248;Candidatus_Arthromitus_SFB_mouse_Yit_uid159517;Bacteria;Firmicutes;Clostridia;Candidatus;Candidatus_Arthromitus;Clostridia;1;1041809;Animal
2249;Candidatus_Arthromitus_SFB_rat_Yit_uid73425;Bacteria;Firmicutes;Clostridia;Candidatus;Candidatus_Arthromitus;Clostridia;1;1041504;Animal
2375;Clostridium_beijerinckii_NCIMB_8052_uid58137;Bacteria;Firmicutes;Clostridia;Clostridium;Clostridium_beijerinckii;Clostridia;1;290402;Plant
2378;Clostridium_botulinum_A3_Loch_Maree_uid59149;Bacteria;Firmicutes;Clostridia;Clostridium;Clostridium_botulinum;Clostridia;1;498214;Animal
2379;Clostridium_botulinum_A_ATCC_19397_uid58927;Bacteria;Firmicutes;Clostridia;Clostridium;Clostridium_botulinum;Clostridia;1;441770;Animal
2387;Clostridium_botulinum_E3_Alaska_E43_uid59157;Bacteria;Firmicutes;Clostridia;Clostridium;Clostridium_botulinum;Clostridia;1;508767;Animal
2407;Clostridium_perfringens_ATCC_13124_uid57901;Bacteria;Firmicutes;Clostridia;Clostridium;Clostridium_perfringens;Clostridia;1;195103;Animal
2420;Coprothermobacter_proteolyticus_DSM_5265_uid59253;Bacteria;Firmicutes;Clostridia;Coprothermobacter;Coprothermobacter_proteolyticus;Clostridia;1;309798;Animal
2527;Desulfotomaculum_ruminis_DSM_2154_uid67507;Bacteria;Firmicutes;Clostridia;Desulfotomaculum;Desulfotomaculum_ruminis;Clostridia;1;696281;Animal
2976;Mahella_australiensis_50_1_BON_uid66917;Bacteria;Firmicutes;Clostridia;Mahella;Mahella_australiensis;Clostridia;1;697281;Animal
3818;Thermoanaerobacter_X513_uid53065;Bacteria;Firmicutes;Clostridia;Thermoanaerobacter;Thermoanaerobacter_X513;Clostridia;1;573062;Animal
1893;Acidaminococcus_fermentans_DSM_20731_uid43471;Bacteria;Firmicutes;Negativicutes;Acidaminococcus;Acidaminococcus_fermentans;Negativicutes;1;591001;Animal
2988;Megasphaera_elsdenii_DSM_20460_uid71135;Bacteria;Firmicutes;Negativicutes;Megasphaera;Megasphaera_elsdenii;Negativicutes;1;1064535;Animal
3529;Selenomonas_ruminantium_lactilytica_TAM6421_uid157247;Bacteria;Firmicutes;Negativicutes;Selenomonas;Selenomonas_ruminantium;Negativicutes;1;927704;Animal
1945;Agrobacterium_H13_3_uid63403;Bacteria;Proteobacteria;Alphaproteobacteria;Agrobacterium;Agrobacterium_H13;Alphaproteobacteria;1;861208;Plant
1946;Agrobacterium_radiobacter_K84_uid58269;Bacteria;Proteobacteria;Alphaproteobacteria;Agrobacterium;Agrobacterium_radiobacter;Alphaproteobacteria;1;311403;Plant
1947;Agrobacterium_tumefaciens_C58_uid57865;Bacteria;Proteobacteria;Alphaproteobacteria;Agrobacterium;Agrobacterium_tumefaciens;Alphaproteobacteria;1;176299;Plant
1948;Agrobacterium_vitis_S4_uid58249;Bacteria;Proteobacteria;Alphaproteobacteria;Agrobacterium;Agrobacterium_vitis;Alphaproteobacteria;1;311402;Plant
1986;Anaplasma_marginale_Florida_uid58577;Bacteria;Proteobacteria;Alphaproteobacteria;Anaplasma;Anaplasma_marginale;Alphaproteobacteria;1;320483;Animal
1987;Anaplasma_marginale_Maries_uid57629;Bacteria;Proteobacteria;Alphaproteobacteria;Anaplasma;Anaplasma_marginale;Alphaproteobacteria;1;234826;Animal
2010;Azorhizobium_caulinodans_ORS_571_uid58905;Bacteria;Proteobacteria;Alphaproteobacteria;Azorhizobium;Azorhizobium_caulinodans;Alphaproteobacteria;1;438753;Animal
2011;Azospirillum_B510_uid46085;Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillum;Azospirillum_B510;Alphaproteobacteria;1;137722;Plant
2013;Azospirillum_lipoferum_4B_uid82343;Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillum;Azospirillum_lipoferum;Alphaproteobacteria;1;862719;Plant
2078;Bartonella_clarridgeiae_73_uid62131;Bacteria;Proteobacteria;Alphaproteobacteria;Bartonella;Bartonella_clarridgeiae;Alphaproteobacteria;1;696125;Animal
2082;Bartonella_tribocorum_CIP_105476_uid59129;Bacteria;Proteobacteria;Alphaproteobacteria;Bartonella;Bartonella_tribocorum;Alphaproteobacteria;1;382640;Animal
2146;Bradyrhizobium_BTAi1_uid58505;Bacteria;Proteobacteria;Alphaproteobacteria;Bradyrhizobium;Bradyrhizobium_BTAi1;Alphaproteobacteria;1;288000;Plant
2147;Bradyrhizobium_japonicum_USDA_110_uid57599;Bacteria;Proteobacteria;Alphaproteobacteria;Bradyrhizobium;Bradyrhizobium_japonicum;Alphaproteobacteria;1;224911;Plant
2149;Bradyrhizobium_ORS_278_uid58941;Bacteria;Proteobacteria;Alphaproteobacteria;Bradyrhizobium;Bradyrhizobium_ORS;Alphaproteobacteria;1;114615;Plant
2153;Brucella_abortus_A13334_uid83615;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_abortus;Alphaproteobacteria;1;1104320;Animal
2154;Brucella_abortus_bv__1_9_941_uid58019;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_abortus;Alphaproteobacteria;1;262698;Animal
2155;Brucella_abortus_S19_uid58873;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_abortus;Alphaproteobacteria;1;430066;Animal
2157;Brucella_canis_HSK_A52141_uid83613;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_canis;Alphaproteobacteria;1;1104321;Animal
2159;Brucella_melitensis_biovar_Abortus_2308_uid62937;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_melitensis;Alphaproteobacteria;1;359391;Animal
2160;Brucella_melitensis_bv__1_16M_uid57735;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_melitensis;Alphaproteobacteria;1;224914;Animal
2161;Brucella_melitensis_M28_uid158857;Bacteria;Proteobacteria;Alphaproteobacteria;Brucella;Brucella_melitensis;Alphaproteobacteria;1;941967;Animal
